"!a-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-a-element\">a element</a>","a (Markdown)"
"!abbr-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-abbr-element\">abbr element</a>","abbr (Markdown)"
"!address-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-address-element\">address element</a>","address (Markdown)"
"!area-h","<a href=\"https://html.spec.whatwg.org/multipage/image-maps.html#the-area-element\">area element</a>","area (Markdown)"
"!article-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-article-element\">article element</a>","article (Markdown)"
"!aside-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-aside-element\">aside element</a>","aside (Markdown)"
"!audio-h","<a href=\"https://html.spec.whatwg.org/multipage/media.html#the-audio-element\">audio element</a>","audio (Markdown)"
"!b-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-b-element\">b element</a>","b (Markdown)"
"!base-h","<a href=\"https://html.spec.whatwg.org/multipage/semantics.html#the-base-element\">base element</a>","base (Markdown)"
"!bdi-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdi-element\">bdi element</a>","bdi (Markdown)"
"!bdo-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdo-element\">bdo element</a>","bdo (Markdown)"
"!blockquote-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-blockquote-element\">blockquote element</a>","blockquote (Markdown)"
"!body-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-body-element\">body element</a>","body (Markdown)"
"!br-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-br-element\">br element</a>","br (Markdown)"
"!button-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-button-element\">button element</a>","button (Markdown)"
"!canvas-h","<a href=\"https://html.spec.whatwg.org/multipage/canvas.html#the-canvas-element\">canvas element</a>","canvas (Markdown)"
"!caption-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-caption-element\">caption element</a>","caption (Markdown)"
"!cite-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-cite-element\">cite element</a>","cite (Markdown)"
"!code-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-code-element\">code element</a>","code (Markdown)"
"!col-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-col-element\">col element</a>","col (Markdown)"
"!colgroup-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-colgroup-element\">colgroup element</a>","colgroup (Markdown)"
"!data-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-data-element\">data element</a>","data (Markdown)"
"!datalist-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-datalist-element\">datalist element</a>","datalist (Markdown)"
"!dd-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-dd-element\">dd element</a>","dd (Markdown)"
"!del-h","<a href=\"https://html.spec.whatwg.org/multipage/edits.html#the-del-element\">del element</a>","del (Markdown)"
"!details-h","<a href=\"https://html.spec.whatwg.org/multipage/interactive-elements.html#the-details-element\">details element</a>","details (Markdown)"
"!dfn-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-dfn-element\">dfn element</a>","dfn (Markdown)"
"!dialog-h","<a href=\"https://html.spec.whatwg.org/multipage/interactive-elements.html#the-dialog-element\">dialog element</a>","dialog (Markdown)"
"!div-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-div-element\">div element</a>","div (Markdown)"
"!dl-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-dl-element\">dl element</a>","dl (Markdown)"
"!dt-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-dt-element\">dt element</a>","dt (Markdown)"
"!em-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-em-element\">em element</a>","em (Markdown)"
"!embed-h","<a href=\"https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-embed-element\">embed element</a>","embed (Markdown)"
"!fieldset-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-fieldset-element\">fieldset element</a>","fieldset (Markdown)"
"!figcaption-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-figcaption-element\">figcaption element</a>","figcaption (Markdown)"
"!figure-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-figure-element\">figure element</a>","figure (Markdown)"
"!footer-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-footer-element\">footer element</a>","footer (Markdown)"
"!form-h","<a href=\"https://html.spec.whatwg.org/multipage/forms.html#the-form-element\">form element</a>","form (Markdown)"
"!head-h","<a href=\"https://html.spec.whatwg.org/multipage/semantics.html#the-head-element\">head element</a>","head (Markdown)"
"!header-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-header-element\">header element</a>","header (Markdown)"
"!hgroup-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-hgroup-element\">hgroup element</a>","hgroup (Markdown)"
"!hr-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-hr-element\">hr element</a>","hr (Markdown)"
"!html-h","<a href=\"https://html.spec.whatwg.org/multipage/semantics.html#the-html-element\">html element</a>","html (Markdown)"
"!i-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-i-element\">i element</a>","i (Markdown)"
"!iframe-h","<a href=\"https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-iframe-element\">iframe element</a>","iframe (Markdown)"
"!img-h","<a href=\"https://html.spec.whatwg.org/multipage/embedded-content.html#the-img-element\">img element</a>","img (Markdown)"
"!input-h","<a href=\"https://html.spec.whatwg.org/multipage/input.html#the-input-element\">input element</a>","input (Markdown)"
"!ins-h","<a href=\"https://html.spec.whatwg.org/multipage/edits.html#the-ins-element\">ins element</a>","ins (Markdown)"
"!kbd-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-kbd-element\">kbd element</a>","kbd (Markdown)"
"!label-h","<a href=\"https://html.spec.whatwg.org/multipage/forms.html#the-label-element\">label element</a>","label (Markdown)"
"!legend-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-legend-element\">legend element</a>","legend (Markdown)"
"!li-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-li-element\">li element</a>","li (Markdown)"
"!link-h","<a href=\"https://html.spec.whatwg.org/multipage/semantics.html#the-link-element\">link element</a>","link (Markdown)"
"!main-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-main-element\">main element</a>","main (Markdown)"
"!map-h","<a href=\"https://html.spec.whatwg.org/multipage/image-maps.html#the-map-element\">map element</a>","map (Markdown)"
"!mark-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-mark-element\">mark element</a>","mark (Markdown)"
"!menu-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-menu-element\">menu element</a>","menu (Markdown)"
"!meta-h","<a href=\"https://html.spec.whatwg.org/multipage/semantics.html#the-meta-element\">meta element</a>","meta (Markdown)"
"!meter-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-meter-element\">meter element</a>","meter (Markdown)"
"!nav-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-nav-element\">nav element</a>","nav (Markdown)"
"!noscript-h","<a href=\"https://html.spec.whatwg.org/multipage/scripting.html#the-noscript-element\">noscript element</a>","noscript (Markdown)"
"!object-h","<a href=\"https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-object-element\">object element</a>","object (Markdown)"
"!ol-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-ol-element\">ol element</a>","ol (Markdown)"
"!optgroup-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-optgroup-element\">optgroup element</a>","optgroup (Markdown)"
"!option-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-option-element\">option element</a>","option (Markdown)"
"!output-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-output-element\">output element</a>","output (Markdown)"
"!p-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-p-element\">p element</a>","p (Markdown)"
"!param-h","<a href=\"https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-param-element\">param element</a>","param (Markdown)"
"!picture-h","<a href=\"https://html.spec.whatwg.org/multipage/embedded-content.html#the-picture-element\">picture element</a>","picture (Markdown)"
"!pre-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-pre-element\">pre element</a>","pre (Markdown)"
"!progress-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-progress-element\">progress element</a>","progress (Markdown)"
"!q-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-q-element\">q element</a>","q (Markdown)"
"!rp-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-rp-element\">rp element</a>","rp (Markdown)"
"!rt-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-rt-element\">rt element</a>","rt (Markdown)"
"!ruby-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-ruby-element\">ruby element</a>","ruby (Markdown)"
"!s-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-s-element\">s element</a>","s (Markdown)"
"!samp-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-samp-element\">samp element</a>","samp (Markdown)"
"!script-h","<a href=\"https://html.spec.whatwg.org/multipage/scripting.html#the-script-element\">script element</a>","script (Markdown)"
"!section-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-section-element\">section element</a>","section (Markdown)"
"!select-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-select-element\">select element</a>","select (Markdown)"
"!slot-h","<a href=\"https://html.spec.whatwg.org/multipage/scripting.html#the-slot-element\">slot element</a>","slot (Markdown)"
"!small-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-small-element\">small element</a>","small (Markdown)"
"!source-h","<a href=\"https://html.spec.whatwg.org/multipage/embedded-content.html#the-source-element\">source element</a>","source (Markdown)"
"!span-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-span-element\">span element</a>","span (Markdown)"
"!strong-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-strong-element\">strong element</a>","strong (Markdown)"
"!style-h","<a href=\"https://html.spec.whatwg.org/multipage/semantics.html#the-style-element\">style element</a>","style (Markdown)"
"!summary-h","<a href=\"https://html.spec.whatwg.org/multipage/interactive-elements.html#the-summary-element\">summary element</a>","summary (Markdown)"
"!table-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-table-element\">table element</a>","table (Markdown)"
"!tbody-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-tbody-element\">tbody element</a>","tbody (Markdown)"
"!td-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-td-element\">td element</a>","td (Markdown)"
"!template-h","<a href=\"https://html.spec.whatwg.org/multipage/scripting.html#the-template-element\">template element</a>","template (Markdown)"
"!textarea-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-textarea-element\">textarea element</a>","textarea (Markdown)"
"!tfoot-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-tfoot-element\">tfoot element</a>","tfoot (Markdown)"
"!th-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-th-element\">th element</a>","th (Markdown)"
"!thead-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-thead-element\">thead element</a>","thead (Markdown)"
"!time-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-time-element\">time element</a>","time (Markdown)"
"!title-h","<a href=\"https://html.spec.whatwg.org/multipage/semantics.html#the-title-element\">title element</a>","title (Markdown)"
"!tr-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-tr-element\">tr element</a>","tr (Markdown)"
"!track-h","<a href=\"https://html.spec.whatwg.org/multipage/media.html#the-track-element\">track element</a>","track (Markdown)"
"!u-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-u-element\">u element</a>","u (Markdown)"
"!ul-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-ul-element\">ul element</a>","ul (Markdown)"
"!var-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-var-element\">var element</a>","var (Markdown)"
"!video-h","<a href=\"https://html.spec.whatwg.org/multipage/media.html#the-video-element\">video element</a>","video (Markdown)"
"!wbr-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-wbr-element\">wbr element</a>","wbr (Markdown)"
